sar,français
r5,à côté de
b\yà,abeille de terre
ké-tèy,"abeille, esp. de"
tèjà,abeille; miel
bilà,abri (animaux domestiques)
gût;,absence de
dan,accompagner
màs#t,acide : être
sètà,activer (feu)
màang,acheter
libèr,aiguille
dl,"aiguiser, affûter"
tàr,aimer
hàgà,ainé de famille
bèe,"ainsi, comme ça; seulement"
g{ir-s6],aisselle
à,"alors, ainsi"
àw,aller
àtt,amer : être
màadx,ami
h61o,ampoule
kdro,Le
da,imal
nængâ,"ineau, bracelet"
Bal,née
kôn-làa,née : cette
kàf-Be,NoT=-bal-àa-béè
mber,annonce publique
kal,antilope (cob de Buffon)
tôw,antilope (guib harnaché)
nàs+,antilope cheval
get#,appuyer
go,après
wû-dûm,arachide
sûu,araignée
kaäg+,arbre
y+da,arbre : esp. de
bità,arbre : esp. de
da,arbre : esp. de
j)5nd#,arbre : esp. de
kdw,arbre : esp. de
mat+,arbre : néré
k1ya,arbre de karité
d1l,arbre : cailcédrat
"k£-t5-küm,ndobé",arbre : esp. de
krra,bre : kapokier
mung,buste : esp. de
ngàr,buste épineux : esp. de
kämbi,buste; feuille
-gèra,-c et flèche
gürsà,argent
länjà,argile noir
brnga,arracher
dibà,"arrêter, s'arrêter"
Ôtz,arriver
gosxE,artiste
ndi,- Langues Sara
-àsà,|'assez: être; suffire
-d00,attacher
ng60,- | attendre
l4a,attraper a la volée
nj0r,aubergine
àg#,augmenter en volume
666-1àa,aujourd'hui
bürüm,autruche
tür,avaler
kété,"avant, entre-temps"
kà,avec
sè-,avec (avec pronoms)
-n,{=
mündo,reugle
ngè-kùm-t5,reugle
ànd#,roir des rapports sexuels
ndèg#,"iigner, se baigner"
160,iiller
kündx,Français :
ndisa,balai
yär,balancer sur la tête
ità,balayer
tisä,balle de grain
mbaÿ,barbe
nàng,"bas, en bas"
dun,bassin; rein
indà,"battre, frapper"
bàlsäà,beau : être
séj#,"beau-frère, belle-soeur"
müm,"beau-père, belle-mère"
ng4y,beaucoup; très
tadr,bégayer
màandi,belle : être
h6t,belle-soeur
tà-rût#,"benjamin, benjamine"
bil-bil,bière de mil
ndà,blanc : être
nàsâr,"blanc, Européen"
màang,"boeuf, vache"
ày,boire
kàsà,)isson
yérgè,)isson alcoolisée (fort)
màjà,nn : être
bàl,UC
tà,uche
bdr,Français :
biya,bouillie
neg,bouillir
mèr,boule de mil
"irè, iPà",bourrer; pousser : piétiner
yel,braises
ngo,- Langues Sara
to,"> |briser, casser"
dim-sil,brouillard
bèmbèé,brousse
yém,bruiner
ko,bruit
ngüûr-màs+,bruit de désapprobation
ù,brûler
ngd,bûche
dûgi,buffle
débz,cacher
Bb5,cacher; tendre
nin,cadavre
rèto,calciner
k5y,calebasse
kùm-Kk5y,calebasse - cuillère
ku,"calebasse, esp. de"
nding,ilme
mat+-kaf,illosité
màad#,"imarade, copin"
l1ya,iméléon
ndabf,inard
sèile,inine
kädà,inne de sucre
tètà,casser
t$ja,"casser, rompre (fréq.)"
ni,"ce, cet (emphatique)"
ni,"ce, le"
bü,cendre
Bbû,- Langues Sara
dàn,"centre, milieu"
ndo,cerémonie d'initiation
nd#jà,cicatrice
dd-ra,ciel
mi,cinq
kèndè,"cithare, harpe"
g+ja,civette
g0-ng1r,clitoris
gong,clôture en bois
jàl,cob des roseaux
wong,colère
làa,")ller, se"
kénéng,mbien
bàÿ,mmen t ?
t£da,mpter
ùsi,)ncerner
kds#,»ncombre
dj+,conseiller
g61l,consoler; bercer; tromper
sûu,conte
nd+nga,convoiter
màd,copain
k£rà,coq
ngéà,- Langues Sara
kéa,corbeau
kè1a,corde
rs,corps
kàdà,côté de: à
kàdà,"côté, poitrine"
kub+,coton
"k$3,minai",cou; gorge
tù,couché : être
kfi,coude
ùr,coudre
ijà,couper
jéng,couper en morceaux (les os)
igà,"uper, hacher"
bèinda,"urber, plier"
r+#ba,urgette : petite
ngodx,urse; courir
gindz,urt : être
kivya,uteau
mi y,Français :
kübs,couvercle du grenier
t1b#,"cracher; crache, salive"
kèra,crapaud
ù,crépir
nder,creuser
wôl,- Langues Sara
màr,crocodile
ngùr,croquer
ndir,cuire
kül,cuire [la sauce longue]
gàr,cuisine
bür,cuisse
idz,"cuit, à point : être"
ndèr,cultiver
màadà,cynocéphale
tàl,chacal
jé4mbàl,chameau
ndir,champ
bèyè,champignon
pa,"anson, chant"
küûl,1arbon
mal,1arognard
sôk#,asser dehors
milà,at
milà-bèm,at sauvage
tènga,Français :
dw,chauffer la base d'un arb
sa,chaussure
ngà,chauve : être
dow,"chauve-souris, esp. de"
ngär,chef
-tàw,chenille (sans poils)
nj£fba,chenille poilue
sa,chercher
sindà,cheval
ningà,) cheveux
brya,"chèvre, cabri"
ndéÿ,chicotte
bisi,chien
ngd0,chiffon sur la tête
g+ra,choisir
yéà,chose
"tàä,pà-ta",d'abord
kèm,dans
ya,danser
Flya,chirer
tüt#,dans
ndégé,hors
"b4,",jà
biri,main
ndoo,démanger
ngang,dents
tày,dépasser
nd$t#,"déplacer, se"
nj£ba,déranger
risà,descendre
"ùd},",descendre; entrer
tüûtr,"détacher, délier"
nùj?,détruire; abîmer
kzra,dette
j06,deux
n0,devant
tà,devant
sûüngé,devinette
ndèng,diarrhée : avoir
N£ba,Dieu; Luwa (frère de Sou)
k£-ràng,diffèrent; ailleurs
nà,re; marqueur de convers
idà,re; parler
k51,"-sputer, palabrer"
nàj#,"-sputer, quereller"
keng,-stribuer
kütà,_X
ngon-)j1,)igt
àd#,donner
Bbt,dormir; sommeil
gidà,dos
jikè,doucement
ndo,douleurs prenatales
b4ix,douter
ko,droite
ngàng,"dur, difficile : être"
ii,durer longtemps
man,"eau, de l'eau"
ndub+,éclater; vacarme
kàdi,écorce sec
dûd#,écraser
tèl,écraser (le foudre)
ndàng,écrire
ndàm,écureuil : esp. de
65n,écureuil de Gambie
mbél,échanger [qc]
kèdx,é]
"ùl, üùl",ever; nourrir
ÔgE,pêcher; refuser
gûg#,\ arrière
sété,\ vain
béy,"icore, plus"
10,Français :
ngon,enfant
0jà,"enfanter, accoucher"
sur,enfiler
täg#,"enfler, s'enfler, gonfler"
su,enfumer [qc]
bäd£-b$ÿ,engoulevent
tegé,enlever avec les mains
ôr,"enlever, retirer"
"mèadr-k5l1,màadr-bàa",ennemi
bir,enrouler
nàa-t#,ensemble
nàa,ensemble : réciprocité
ndûr,entasser
d0,"entendre, écouter"
dûüb#,"enterrer, semer"
mbèna,"entre, parmi"
gèlà,entrejambe
nû-mba,entrejambe
ùdà,entrer
ilà,ivoyer
ndèr,ais : être
bôw,ais (liquide) : être
t1,">arpiller, écarter"
b5g#,aule
nèngà,KoN=yängàli
kéno,ilepsie
k5n,Français :
tèga,"épuiser. finir, achever"
s0oro,escargot
bûl.,esclave
dùl,esp. d'antilope
dl,essuyer
0,"et, aussi"
bà,"et, mais"
nàjà,"étaler, étendre (au soleil)"
ätèiso,éternuement
nd$b#,étinceler
"t{vS, kôvo",étoile
i,être
rà,être debout
nd6o,étudier; aprendre
gong,éviter
yèdx,excrément
birà-k3s},expert cultivateur
sèirè,fabriquer en tournant
k1r,fagot
65,faim
ra,LC
ndàw,ire griller à sec
tor,"ire mal, faire souffrir"
qug+,ire rites
ngdrông,iucille
diyé,femme
nlyé,"femme, épouse"
gaix,fendre
njàr,"fendre, couper"
nj4r,fendre; déchirer
keng,fendre; diviser; partager
gindz,fer
ût#,- Langues Sara
mbùr,fesses
hôr,feu
bändi,filet
ngon,"fils, fille"
