source_lang,source_word,target_lang,target_word
French,à côté de,Bebote,mb$
French,à côté de,Bediondo,r5
French,à côté de,Gor,gsd#
French,à côté de,Gulay,ra
French,à côté de,Kaba,rs5
French,à côté de,Mbay,ro
French,à côté de,Mango,mbé
French,à côté de,Nar,r5
French,à côté de,Ngambay,r5
French,à côté de,Sar,r5
French,à l'envers,Laka,£-mbawfya
French,à l'envers,Mango,mèé
French,à l'envers,Ngam,màÿ
French,abeille de terre,Bebote,b} y
French,abeille de terre,Bediondo,biyà
French,abeille de terre,Gor,b}yè
French,abeille de terre,Gulay,tüjü-b}
French,abeille de terre,Kaba_Na,bèy
French,abeille de terre,Kaba,bi yà
French,abeille de terre,Laka,bi y
French,abeille de terre,Mbay,b] yà
French,abeille de terre,Mango,biys
French,abeille de terre,Nar,b)yè
French,abeille de terre,Ngambay,biyà
French,abeille de terre,Sar,b\yà
French,"abeille, esp. de",Gulay,ké-tèé : KoN=-tàÿ
French,"abeille, esp. de",Laka,£-Cèé : Mh=ké-tèé
French,"abeille, esp. de",Ngambay,té
French,"abeille, esp. de",Sar,ké-tèy
French,abeille; miel,Bebote,tèji
French,abeille; miel,Bediondo,tèjà
French,abeille; miel,Daba,tèi
French,abeille; miel,Gor,tèji
French,abeille; miel,Gulay,tüjù
French,abeille; miel,Kaba,tèji
French,abeille; miel,Laka,tèji
French,abeille; miel,Mbay,tèji
French,abeille; miel,Mango,tôjà
French,abeille; miel,Nar,tèji
French,abeille; miel,Ngambay,tènji
French,abeille; miel,Sar,tèjà
French,abri (animaux domestiques),Bebote,bà1
French,abri (animaux domestiques),Bediondo,bilè
French,abri (animaux domestiques),Daba,bùl à
French,abri (animaux domestiques),Gor,bô10
French,abri (animaux domestiques),Gulay,bôle
French,abri (animaux domestiques),Kaba_Na,bùl à
French,abri (animaux domestiques),Kaba,bùl à
French,abri (animaux domestiques),Laka,bùl à
French,abri (animaux domestiques),Mango,bôlè
French,abri (animaux domestiques),Nar,b+1è
French,abri (animaux domestiques),Ngambay,bùlà
French,abri (animaux domestiques),Sar,bilà
French,abri (animaux domestiques),Ngam,bàlà
